SKU|Producto|Stock|PVP|Rubro
FV9-4|1/4 KG HONEY CLASSIC FKF LISTA VERDE|98|13310|01 LISTA VERDE FRIKAF
FV11-1|1 KG CAFÉ TOSTADO BOURBON LISTA VERDE|97|60500|01 LISTA VERDE FRIKAF
FV24-1|1 KG CAFE GUATEMALA (84 PTS SCA) LISTA VERDE|97|65340|01 LISTA VERDE FRIKAF
FV2-1|BRASIL SELECCION 1 KG LISTA VERDE|95|48400|01 LISTA VERDE FRIKAF
FV4-1|COLOMBIA EXCELSO 1 KG LISTA VERDE|95|62920|01 LISTA VERDE FRIKAF
FV7-1|MOKA 1 KG FKF LISTA VERDE|95|53240|01 LISTA VERDE FRIKAF
FV6-1|1 KG BRACOL (50%COL/50%BR) LISTA VERDE|92|55660|01 LISTA VERDE FRIKAF
M776|RUEDA PARA CAJON GIGANTE|92|17424|MASCARDI SINCRO PRECIOS
FV2-2|BRASIL SELECCION 1/2 KG LISTA VERDE|90|25410|01 LISTA VERDE FRIKAF
9234|CAJA PLÁSTICA COL BOX DE 34 LTS. X 1 COLOMBRARO CUOTAS  9234|90|1549|General
C9415.|MEGACOL BOX 20 LTS. 49X33X18,5 CM.|89|28410|COLOMBRARO SINCRO STOCK
CMP|CEPILLO MANGO PLÁSTICO LINEA CMP ALIAFOR DESBASTE|88|3061|DISCOS ALIAFOR
+17|CAFÉ ESPECIALIDAD COLIBRI 85 PTS 1 KG ED LIMITADA  ITALIANO - MOKA|84|89796|General
FV1-1|BLEND PREMIUM 1 KG LISTA VERDE|84|50820|01 LISTA VERDE FRIKAF
FV3-1|TOSTADO ITALIANO 1 KG LISTA VERDE|82|50820|01 LISTA VERDE FRIKAF
4300|PACK X 8 SILLITA PARA NIÑOS REFORZADA COLOMBRARO  FUCSIA 4300|80|11599|General
+0|CAFE TOSTADO DESCAFEINADO COLOMBIANO FRIKAF 1KG  MOLIDO CAFETERA EXPRESS|73|115564|General
+16|CAFÉ ESPECIALIDAD CARACOLILLO FRUTOS ROJOS 1 KG ED LIMITADA  CAFETERA EXPRESS|62|89796|General
BAÑO2|CANILLA 1 AGUA PLASTICA BLANCA ECONOMICA MESADA  BLANCA BLANCA|62|7260|General
TAP|TAPA PARA CAJON MASCARDI  BLANCO|62|240698|General
C7008VP|TAPA VAIVEN X 55 L. VERDE PRO|60|15910|COLOMBRARO SINCRO STOCK
DELLA002|POLVO DE LIMPIEZA MAQUINA ESPRESSO DE CAFÉ 450 GR DELLA TAZZA|59|36300|COMPAÑIA FRIKAF
CCR60I|CEPILLO COPA RIZADO 60MM PEGASSO ACERO USO PROF. AMOLADORA|58|8881|DISCOS ALIAFOR
C2917VP|RECIPIENTE RECTANGULAR X 55 L. SIN TAPA PRO|57|28410|COLOMBRARO SINCRO STOCK
C9419.|MEGACOL BOX 80 L. 64X45X41 CM.|53|60230|COLOMBRARO SINCRO STOCK
C9381.|COL BOX CUADRO X 15 LTS. (STOCKEAR SIN TAPA)|53|17050|COLOMBRARO SINCRO STOCK
C9380.|COL BOX RECTO X 17 LTS.|51|16820|COLOMBRARO SINCRO STOCK
C9730BL|TARRO RING STAR 500 CM3 TAPER FRASCO TAPA BLANCA|51|2840|COLOMBRARO SINCRO STOCK
C1626BL|SERVILLETERO COLOR BLANCO|46|2050|COLOMBRARO SINCRO STOCK
C1924BL|RECIP.DE RESID. X 12 L. C/TAPA REBATIBLE BLANCO|44|11360|COLOMBRARO SINCRO STOCK
C9406.|MEGACOL BOX BAJO 25 L. 63,5X44,5X16,5 CM. (COD.9406)|43|37500|COLOMBRARO SINCRO STOCK
C9418.|MEGACOL BOX 63 L. 64X45X32 CM.|42|48860|COLOMBRARO SINCRO STOCK
+14|CAFÉ ESPECIALIDAD AMABILE NATURAL SOROCABANA 1KG ED LIMITADA  ITALIANO - MOKA|42|89796|General
9419|CAJA PLÁSTICA 80 LTS APILABLE ORGANIZADORA - COLOMBRARO  9419|42|3999|General
